old_task_id,task_code,task_title,status,source,vertical_name,vertical_code,sub_vertical_name,priority_code,priority_label,owner_role_name,owner_user_name,sub_owner_role_name,created_by_name,deadline,frequency,description,support_needed,next_action,intervention,expected_output,created_at,updated_at,dropped_at,drop_reason,sla_due_at,sla_breached_at
cmok2pfww002rp2zxup9y0jie,RGU-011,Airport copy -2 designs,NOT_STARTED,DEPARTMENT_MEETING,RGU,RGU,,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-29 13:10:55.953,2026-04-29 13:10:55.953,,,,
cmol0zhra004xlltvdsx00o5o,RGU-033,Skill Passport Launch,COMPLETED,SELF_STRATEGY,RGU,RGU,Prelaunch,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-30 05:10:31.847,2026-06-10 06:25:56.363,,,,
cmol0kdf3001wlltvu4o07lfs,RGU-020,Temporary Entrance Arch,COMPLETED,SELF_STRATEGY,Creative,CRT,,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-30 04:58:46.383,2026-06-10 07:02:06.588,,,,
cmok35hwo0033p2zxobzj12at,RGU-015,Faculty Handbook Distribution,COMPLETED,BOSS_INSTRUCTION,Creative,CRT,,P3,Operational,Senior Manager,,,Senior Manager,,,,,,NO,,2026-04-29 13:23:25.032,2026-06-10 07:03:40.787,,,,
cmq7p8zwk0092nlrervog00t8,RAALE-004,Peer Learning Student Community,NOT_STARTED,DEPARTMENT_MEETING,RAALE - Learning Ecosystem,RAALE,,P1,Critical,Dr.Raje,,,Super Admin,2026-06-17 00:00:00,,,,,NO,,2026-06-10 06:40:24.26,2026-06-10 06:40:24.26,,,,
cmokzm8k6000l54jtfzogvob3,MKT-047,Student undertaking documentation,NOT_STARTED,SELF_STRATEGY,Marketing,MKT,Physical Marketing,P2,Important,Pandi Elavarasan,,,Senior Manager,2026-05-02 00:00:00,,,,,NO,,2026-04-30 04:32:13.782,2026-06-10 06:41:05.013,,,,
cmol0q5d60030lltvu45rxwgm,MKT-060,Visiting Cards with Envelopes / Box,NOT_STARTED,SELF_STRATEGY,Marketing,MKT,,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-30 05:03:15.883,2026-04-30 05:03:19.286,,,,
cmokznkc3000r54jt1xfx3gn3,MKT-048,Discussion with Corporate Gurukul,PARKED,SELF_STRATEGY,Marketing,MKT,Physical Marketing,P3,Operational,Arunraaj Manickaraj,,,Senior Manager,2026-05-01 00:00:00,,,,,NO,,2026-04-30 04:33:15.7,2026-06-10 06:42:55.169,,,,
cmol10dij005blltv0kazatah,RGU-035,RGU Coffee Table Book,PARKED,SELF_STRATEGY,RGU,RGU,Prelaunch,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-30 05:11:13.003,2026-06-10 06:50:50.539,,,,
cmol118h5005nlltvbyzbaqbm,RGU-037,May 15 Invitation,COMPLETED,SELF_STRATEGY,Creative,CRT,,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-30 05:11:53.129,2026-06-10 06:52:03.927,,,,
cmol10tub005hlltv7axlxwze,RGU-036,RGU Brochure,WAITING_FOR_APPROVAL,SELF_STRATEGY,Creative,CRT,,P2,Important,Udhaykumar,,,Senior Manager,,,,,,NO,,2026-04-30 05:11:34.163,2026-06-10 06:52:33.881,,,,
cmol100un0055lltvr783b2hg,RGU-034,The Pride Summit Brochure,COMPLETED,SELF_STRATEGY,Creative,CRT,,P2,Important,,,,Senior Manager,,,,,,NO,,2026-04-30 05:10:56.591,2026-06-10 06:53:25.134,,,,
