old_task_id,task_code,task_title,status,vertical_id,priority_id,created_by_id,team_name_to_assign,old_owner_role_id,secondary_team_name,old_sub_owner_id,user_name_to_assign,old_owner_user_id,mapping_notes
cmok35hwo0033p2zxobzj12at,RGU-015,Faculty Handbook Distribution,COMPLETED,cmol6xe3q009dlltva235e6ag,cmoj2reqs002qxk85b5tuberg,cmoj2rf13002xxk85dachrvmn,Senior Manager,cmoj2ren2000yxk85nm65jskt,,,,,Create TaskTeamAssignment for team 'Senior Manager' (old ownerRoleId=cmoj2ren2000yxk85nm65jskt)
cmq7p8zwk0092nlrervog00t8,RAALE-004,Peer Learning Student Community,NOT_STARTED,cmps0oof80003heomf5urdcuh,cmoj2reqm002oxk85v8rq58a6,cmoj2reur002txk85m6ya4byh,Dr.Raje,cmq7nfaw6002knlreo214j336,,,,,Create TaskTeamAssignment for team 'Dr.Raje' (old ownerRoleId=cmq7nfaw6002knlreo214j336)
cmokzm8k6000l54jtfzogvob3,MKT-047,Student undertaking documentation,NOT_STARTED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqq002pxk85srkt5qsy,cmoj2rf13002xxk85dachrvmn,Pandi Elavarasan,cmq7njicv002nnlrejd4j6jq9,,,,,Create TaskTeamAssignment for team 'Pandi Elavarasan' (old ownerRoleId=cmq7njicv002nnlrejd4j6jq9)
cmokznkc3000r54jt1xfx3gn3,MKT-048,Discussion with Corporate Gurukul,PARKED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqs002qxk85b5tuberg,cmoj2rf13002xxk85dachrvmn,Arunraaj Manickaraj,cmq7ntatd003snlre4m1hjjtw,,,,,Create TaskTeamAssignment for team 'Arunraaj Manickaraj' (old ownerRoleId=cmq7ntatd003snlre4m1hjjtw)
cmol10tub005hlltv7axlxwze,RGU-036,RGU Brochure,WAITING_FOR_APPROVAL,cmol6xe3q009dlltva235e6ag,cmoj2reqq002pxk85srkt5qsy,cmoj2rf13002xxk85dachrvmn,Udhaykumar,cmq7ph6ao009qnlrelql5uzyw,,,,,Create TaskTeamAssignment for team 'Udhaykumar' (old ownerRoleId=cmq7ph6ao009qnlrelql5uzyw)
cmoj2rf2p003dxk85l9efx3vn,MKT-008,Flex and hoardings campaign,DROPPED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqs002qxk85b5tuberg,cmoj2rf13002xxk85dachrvmn,Branding Team,cmoj2rekp0006xk85gb0k37fh,,,,,Create TaskTeamAssignment for team 'Branding Team' (old ownerRoleId=cmoj2rekp0006xk85gb0k37fh)
cmoj2rf1e002zxk85a6knzd80,MKT-001,Weekly MRM and action-taken points review,DROPPED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqm002oxk85v8rq58a6,cmoj2rf13002xxk85dachrvmn,Marketing Head,cmoj2rejg0000xk85c5u73l07,,,,,Create TaskTeamAssignment for team 'Marketing Head' (old ownerRoleId=cmoj2rejg0000xk85c5u73l07)
cmoqp77wq000u5tvm2k2xey51,MKT-066,"Increase digital spent in SAlem,Pollachi areas",COMPLETED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqq002pxk85srkt5qsy,cmoj2rf13002xxk85dachrvmn,Digital Marketing Lead,cmoj2rejq0001xk85ldeu4uzh,,,,,Create TaskTeamAssignment for team 'Digital Marketing Lead' (old ownerRoleId=cmoj2rejq0001xk85ldeu4uzh)
cmoqpaore00165tvmaw2fu975,MKT-068,Common ad budget can be reduced and location specific ads can be increased,COMPLETED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqq002pxk85srkt5qsy,cmoj2rf13002xxk85dachrvmn,Digital Marketing Lead,cmoj2rejq0001xk85ldeu4uzh,,,,,Create TaskTeamAssignment for team 'Digital Marketing Lead' (old ownerRoleId=cmoj2rejq0001xk85ldeu4uzh)
cmoqp5ps0000i5tvmjw33bt46,MKT-064,Fix a KPI for chat,NOT_STARTED,cmoj2rena0010xk85cuzrw5fp,cmoj2reqq002pxk85srkt5qsy,cmoj2rf13002xxk85dachrvmn,Meghala,cmq7niwjj002mnlreu3l0t5tp,,,,,Create TaskTeamAssignment for team 'Meghala' (old ownerRoleId=cmq7niwjj002mnlreu3l0t5tp)
