old_vertical_id,name,code
cmoj2rena0010xk85cuzrw5fp,Marketing,MKT
cmq7r3jvy00d2nlrev76jr1jz,Research,RSH
cmoxy29h700375tvmbr0bhywf,Registrar,REG
cmol6xe3q009dlltva235e6ag,Creative,CRT
cmoj2renh0011xk85ij9xbfhe,RTC,RTC
cmoj2renl0012xk85vwlmtkom,Placements,PLC
cmoj2renn0013xk857ix3cstf,AIC RAISE,AIC
cmoj2renr0014xk8560p00ufi,RGU,RGU
cmoj2rent0015xk85js8spr5y,Special Strategic Projects,SSP
cmoxxs64l002y5tvm69ga2uj6,"Fashion Design, Media & Performing Arts",FDMPA
cmps0oof80003heomf5urdcuh,RAALE - Learning Ecosystem,RAALE
